역번호,역명,역위도,역경도,역사도로명주소,행정구역
A01,서울,37.5491178426,126.9704642516,서울특별시 용산구 청파로 378,용산구
A02,공덕,37.5428405531,126.9513300741,서울특별시 마포구 마포대로 92,마포구
A03,홍대입구,37.5577410279,126.9264939191,서울특별시 마포구 양화로 188,마포구
A04,디지털미디어시티,37.5768254356,126.8990205237,서울특별시 마포구 성암로 184,마포구
A042,마곡나루,37.5658191364,126.8276357848,서울특별시 강서구 마곡중앙로 지하 135(마곡동),강서구
A05,김포공항,37.5621165172,126.8015442481,서울특별시 강서구 하늘길 77,강서구
S110,북한산우이,,,서울특별시 강북구 삼양로 지하 676,강북구
S111,솔밭공원,,,서울특별시 강북구 삼양로 595,강북구
S112,4.19민주묘지,,,서울특별시 강북구 삼양로 519,강북구
S113,가오리,,,서울특별시 강북구 삼양로 426,강북구
S114,화계,,,서울특별시 강북구 삼양로 341,강북구
S115,삼양,,,서울특별시 강북구 삼양로 지하 259,강북구
S116,삼양사거리,,,서울특별시 강북구 삼양로 197,강북구
S117,솔샘,,,서울특별시 강북구 솔샘로 지하 189,강북구
S118,북한산보국문,,,서울특별시 성북구 보국문로 지하 88,성북구
S119,정릉,,,서울특별시 성북구 아리랑로 지하 112,성북구
S120,성신여대입구,,,서울특별시 성북구 동선동1가 116-1,성북구
S121,보문,,,서울특별시 성북구 보문동1가 127-6,성북구
S122,신설동,,,서울특별시 동대문구 신설동 132-259,동대문구
D004,신사,127.02,37.5159,서울특별시 강남구 도산대로 지하 102,강남구
D005,논현,127.0213,37.5111,서울특별시 강남구 학동로 지하 102,강남구
D006,신논현,127.0245,37.5044,서울특별시 강남구 봉은사로 지하 102,강남구
D007,강남,127.0278789,37.49738544,서울특별시 강남구 강남대로 지하 396,강남구
D008,양재(서초구청),127.0340995,37.48445352,서울시 서초구 남부순환로 지하 2585,서초구
D009,양재시민의숲(매헌),127.0384203,37.47096388,서울특별시 서초구 매헌로 지하 116,서초구
D010,청계산입구,127.0543396,37.44871485,서울특별시 서초구 청계산로 지하 179,서초구
S401,샛강,37.517166735,126.9294470255,서울시 영등포구 여의도동 56,영등포구
S402,대방,37.5127290626,126.9254075633,서울시 영등포구 신길동 1375-1,영등포구
S403,서울지방병무청,37.5127831228,126.9254075095,서울시 동작구 대방동 466-41,동작구
S404,보라매,37.5005172417,126.9204946271,서울시 동작구 대방동 466-49,동작구
S405,보라매공원,37.4954362146,126.9181450664,서울시 동작구 신대방동 722,동작구
S406,보라매병원,37.4929643234,126.9235557665,서울시 동작구 신대방동 395-61,동작구
S407,당곡,37.4902007518,126.9275557778,서울시 관악구 봉천동 985,관악구
S408,신림,37.4848545239,126.9296300621,서울시 관악구 신림동 1467-10,관악구
S409,서원,37.4782206011,126.9330845148,서울시 관악구 신림동 808-407,관악구
S410,서울대벤처타운,37.4719861064,126.9339605378,서울시 관악구 신림동 110-10,관악구
S411,관악산,37.4690905389,126.9450695623,서울시 관악구 신림동 211,관악구
G109,김포공항,,,서울특별시 강서구 하늘길 지하77,강서구
0124,청량리(서울시립대입구),,,서울특별시 동대문구 왕산로 지하205(전농동),동대문구
0125,제기동,,,서울특별시 동대문구 왕산로 지하93(제기동),동대문구
0126,신설동,,,서울특별시 동대문구 왕산로 지하1(신설동),동대문구
0127,동묘앞,,,서울특별시 종로구 종로 359(숭인동),종로구
0128,동대문,,,서울특별시 종로구 종로 지하302(창신동),종로구
0129,종로5가,,,서울특별시 종로구 종로 지하216(종로5가),종로구
0130,종로3가,,,서울특별시 종로구 종로 지하129(종로3가),종로구
0131,종각,,,서울특별시 종로구 종로 지하55(종로1가),종로구
0132,시청,,,서울특별시 중구 세종대로 지하101(정동),중구
0133,서울,,,서울특별시 중구 세종대로 지하2(남대문로 5가),중구
0201,시청,,,서울특별시 중구 서소문로 지하127(서소문동),중구
0202,을지로입구,,,서울특별시 중구 을지로 지하42(을지로1가),중구
0203,을지로3가,,,서울특별시 중구 을지로 지하106(을지로3가),중구
0204,을지로4가,,,서울특별시 중구 을지로 지하178(을지로4가),중구
0205,동대문역사문화공원(DDP),,,서울특별시 중구 을지로 지하279(을지로7가),중구
0206,신당,,,서울특별시 중구 퇴계로 지하431-1(신당동),중구
0207,상왕십리,,,서울특별시 성동구 왕십리로 지하374(하왕십리동),성동구
0208,왕십리(성동구청),,,서울특별시 성동구 왕십리로 지하300(행당동),성동구
0209,한양대,,,서울특별시 성동구 왕십리로 206(행당동),성동구
0210,뚝섬,,,서울특별시 성동구 아차산로 18(성수동1가),성동구
0211,성수,,,서울특별시 성동구 아차산로 100(성수동2가),성동구
0212,건대입구,,,서울특별시 광진구 아차산로 243(화양동),광진구
0213,구의(광진구청),,,서울특별시 광진구 아차산로 384-1(구의동),광진구
0214,강변(동서울터미널),,,서울특별시 광진구 강변역로 53(구의동),광진구
0215,잠실나루,,,서울특별시 송파구 오금로 20(신천동),송파구
0216,잠실(송파구청),,,서울특별시 송파구 올림픽로 지하265(신천동),송파구
0217,잠실새내,,,서울특별시 송파구 올림픽로 지하140(잠실동),송파구
0218,종합운동장,,,서울특별시 송파구 올림픽로 지하23(잠실동),송파구
0219,삼성(무역센터),,,서울특별시 강남구 테헤란로 지하538(삼성동),강남구
0220,선릉,,,서울특별시 강남구 테헤란로 지하340(삼성동),강남구
0221,역삼,,,서울특별시 강남구 테헤란로 지하156(역삼동),강남구
0222,강남,,,서울특별시 강남구 강남대로 지하396(역삼동),강남구
0223,교대(법원·검찰청),,,서울특별시 서초구 서초대로 지하294(서초동),서초구
0224,서초,,,서울특별시 서초구 서초대로 지하233(서초동),서초구
0225,방배,,,서울특별시 서초구 방배로 지하80(방배동),서초구
0226,사당,,,서울특별시 동작구 남부순환로 지하2089(사당동),동작구
0227,낙성대(강감찬),,,서울특별시 관악구 남부순환로 지하1928(봉천동),관악구
0228,서울대입구(관악구청),,,서울특별시 관악구 남부순환로 지하1822(봉천동),관악구
0229,봉천,,,서울특별시 관악구 남부순환로 지하1721(봉천동),관악구
0230,신림,,,서울특별시 관악구 남부순환로 지하1614(신림동),관악구
0231,신대방,,,서울특별시 동작구 대림로 2(신대방동),동작구
0232,구로디지털단지,,,서울특별시 구로구 도림천로 477(구로동),구로구
0233,대림(구로구청),,,서울특별시 구로구 도림천로 351(구로동),구로구
0234,신도림,,,서울특별시 구로구 새말로 지하 117-21(신도림동),구로구
0235,문래,,,서울특별시 영등포구 당산로 지하28(문래동3가),영등포구
0236,영등포구청,,,서울특별시 영등포구 당산로 지하121(당산동3가),영등포구
0237,당산,,,서울특별시 영등포구 당산로 229(당산동6가),영등포구
0238,합정,,,서울특별시 마포구 양화로 지하55(서교동),마포구
0239,홍대입구,,,서울특별시 마포구 양화로 지하160(동교동),마포구
0240,신촌(지하),,,서울특별시 마포구 신촌로 지하90(노고산동),마포구
0241,이대,,,서울특별시 마포구 신촌로 지하180(염리동),마포구
0242,아현,,,서울특별시 마포구 신촌로 지하270(아현동),마포구
0243,충정로(경기대입구),,,서울특별시 서대문구 서소문로 지하17(충정로3가),서대문구
2111,용답,,,서울특별시 성동구 용답길 86(용답동),성동구
2112,신답,,,서울특별시 성동구 천호대로 232(용답동),성동구
2113,용두(동대문구청),,,서울특별시 동대문구 천호대로 지하129(용두동),동대문구
2114,신설동,,,서울특별시 동대문구 왕산로 지하 1(신설동),동대문구
2341,도림천,,,서울특별시 구로구 경인로67길 160(신도림동),구로구
2342,양천구청,,,서울특별시 양천구 목동로3길 지하33(신정동),양천구
2343,신정네거리,,,서울특별시 양천구 중앙로 지하261(신정동),양천구
0320,구파발,,,서울특별시 은평구 진관2로 지하15-25 (진관동),은평구
0321,연신내,,,서울특별시 은평구 통일로 지하849(갈현동),은평구
0322,불광,,,서울특별시 은평구 통일로 지하723-1(대조동),은평구
0323,녹번,,,서울특별시 은평구 통일로 지하602-1(녹번동),은평구
0324,홍제,,,서울특별시 서대문구 통일로 지하440-1(홍제동),서대문구
0325,무악재,,,서울특별시 서대문구 통일로 지하361(홍제동),서대문구
0326,독립문,,,서울특별시 서대문구 통일로 지하247(현저동),서대문구
0327,경복궁(정부서울청사),,,서울특별시 종로구 사직로 지하130(적선동),종로구
0328,안국,,,서울특별시 종로구 율곡로 지하62(안국동),종로구
0329,종로3가,,,서울특별시 종로구 돈화문로 지하30(묘동),종로구
0330,을지로3가,,,서울특별시 중구 을지로 지하129(을지로3가),중구
0331,충무로,,,서울특별시 중구 퇴계로 지하214(필동2가),중구
0332,동대입구,,,서울특별시 중구 동호로 지하256(장충동2가),중구
0333,약수,,,서울특별시 중구 다산로 지하122(신당동),중구
0334,금호,,,서울특별시 성동구 동호로 지하104(금호동4가),성동구
0335,옥수,,,서울특별시 성동구 동호로 21(옥수동),성동구
0336,압구정,,,서울특별시 강남구 압구정로 지하172(신사동),강남구
0337,신사,,,서울특별시 강남구 도산대로 지하102(신사동),강남구
0338,잠원,,,서울특별시 서초구 잠원로4길 지하46(잠원동),서초구
0339,고속터미널,,,서울특별시 서초구 신반포로 지하188(반포동),서초구
0340,교대(법원·검찰청),,,서울특별시 서초구 서초대로 지하294(서초동),서초구
0341,남부터미널(예술의전당),,,서울특별시 서초구 서초중앙로 지하31(서초동),서초구
0342,양재(서초구청),,,서울특별시 서초구 남부순환로 지하2585(서초동),서초구
0343,매봉,,,서울특별시 강남구 남부순환로 지하2744(도곡동),강남구
0344,도곡,,,서울특별시 강남구 남부순환로 지하2814(도곡동),강남구
0345,대치,,,서울특별시 강남구 남부순환로 지하2952(대치동),강남구
0346,학여울,,,서울특별시 강남구 남부순환로 지하3104(대치동),강남구
0347,대청,,,서울특별시 강남구 일원로 지하2(일원동),강남구
0348,일원,,,서울특별시 강남구 일원로 지하121(일원동),강남구
0349,수서,,,서울특별시 강남구 광평로 지하270(수서동),강남구
0350,가락시장,,,서울특별시 송파구 송파대로 지하257(가락동),송파구
0351,경찰병원,,,서울특별시 송파구 중대로 지하149(가락동),송파구
0352,오금,,,서울특별시 송파구 오금로 지하321(오금동),송파구
0409,당고개,,,서울특별시 노원구 상계로 305(상계동),노원구
0410,상계,,,서울특별시 노원구 상계로 182(상계동),노원구
0411,노원,,,서울특별시 노원구 상계로 69-1(상계동),노원구
0412,창동,,,서울특별시 도봉구 마들로11길 77(창동),도봉구
0413,쌍문,,,서울특별시 도봉구 도봉로 지하 486-1(창동),도봉구
0414,수유(강북구청),,,서울특별시 강북구 도봉로 지하338(수유동),강북구
0415,미아(서울사이버대학),,,서울특별시 강북구 도봉로 지하198(미아동),강북구
0416,미아사거리,,,서울특별시 강북구 도봉로 지하50(미아동),강북구
0417,길음,,,서울특별시 성북구 동소문로 지하248(길음동),성북구
0418,성신여대입구(돈암),,,서울특별시 성북구 동소문로 지하102(동선동4가),성북구
0419,한성대입구(삼선교),,,서울특별시 성북구 삼선교로 지하1(삼선동1가),성북구
0420,혜화,,,서울특별시 종로구 대학로 지하120(명륜4가),종로구
0421,동대문,,,서울특별시 종로구 율곡로 지하308(종로6가),종로구
0422,동대문역사문화공원(DDP),,,서울특별시 중구 장충단로 지하230(광희동2가),중구
0423,충무로,,,서울특별시 중구 퇴계로 지하214(필동2가),중구
0424,명동,,,서울특별시 중구 퇴계로 지하126(충무로2가),중구
0425,회현(남대문시장),,,서울특별시 중구 퇴계로 지하54(남창동),중구
0426,서울,,,서울특별시 용산구 한강대로 지하392(동자동),용산구
0427,숙대입구(갈월),,,서울특별시 용산구 한강대로 지하306(갈월동),용산구
0428,삼각지,,,서울특별시 용산구 한강대로 지하180(한강로1가),용산구
0429,신용산,,,서울특별시 용산구 한강대로 지하112(한강로2가),용산구
0430,이촌(국립중앙박물관),,,서울특별시 용산구 서빙고로 지하83(용산동5가),용산구
0431,동작(현충원),,,서울특별시 동작구 현충로 257(동작동),동작구
0432,총신대입구(이수),,,서울특별시 동작구 동작대로 지하117(사당동),동작구
0433,사당,,,서울특별시 동작구  동작대로 지하3(사당동),동작구
0434,남태령,,,서울특별시 서초구 과천대로 지하816(방배동),서초구
0510,방화,,,서울특별시 강서구 금낭화로 지하132(방화동),강서구
0511,개화산,,,서울특별시 강서구 양천로 22(방화동),강서구
0512,김포공항,,,서울특별시 강서구 하늘길 지하77(방화동),강서구
0513,송정,,,서울특별시 강서구 공항대로 지하33(공항동),강서구
0514,마곡,,,서울특별시 강서구 공항대로 지하163(마곡동),강서구
0515,발산,,,서울특별시 강서구 공항대로 지하267(마곡동),강서구
0516,우장산,,,서울특별시 강서구 강서로 지하262(화곡동),강서구
0517,화곡,,,서울특별시 강서구 화곡로 지하168(화곡동),강서구
0518,까치산,,,서울특별시 강서구 강서로 지하54(화곡동),강서구
0519,신정(은행정),,,서울특별시 양천구 오목로 지하179(신정동),양천구
0520,목동,,,서울특별시 양천구 오목로 지하245(목동),양천구
0521,오목교(목동운동장앞),,,서울특별시 양천구 오목로 지하342(목동),양천구
0522,양평,,,서울특별시 영등포구 양산로 지하21(양평동2가),영등포구
0523,영등포구청,,,서울특별시 영등포구 양산로 지하116(당산동3가),영등포구
0524,영등포시장,,,서울특별시 영등포구 양산로 지하200(영등포동5가),영등포구
0525,신길,,,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),영등포구
0526,여의도,,,서울특별시 영등포구 여의나루로 지하40(여의도동),영등포구
0527,여의나루,,,서울특별시 영등포구 여의동로 지하343(여의도동),영등포구
0528,마포,,,서울특별시 마포구 마포대로 지하33(도화동),마포구
0529,공덕,,,서울특별시 마포구 마포대로 지하100(공덕동),마포구
0530,애오개,,,서울특별시 마포구 마포대로 지하210(아현동),마포구
0531,충정로(경기대입구),,,서울특별시 서대문구 충정로 지하 28-1(충정로3가),서대문구
0532,서대문,,,서울특별시 종로구 통일로 지하126(평동),종로구
0533,광화문(세종문화회관),,,서울특별시 종로구 세종대로 지하172(세종로),종로구
0534,종로3가(탑골공원),,,서울특별시 종로구 돈화문로11길 지하 26(돈의동),종로구
0535,을지로4가,,,서울특별시 중구 창경궁로 지하51(주교동),중구
0536,동대문역사문화공원(DDP),,,서울특별시 중구 마른내로 지하162(광희동1가),중구
0537,청구,,,서울특별시 중구 청구로 지하77(신당동),중구
0538,신금호,,,서울특별시 성동구 금호로 지하154(금호동2가),성동구
0539,행당,,,서울특별시 성동구 행당로 지하89(행당동),성동구
0540,왕십리(성동구청),,,서울특별시 성동구 왕십리로 지하300(행당동),성동구
0541,마장,,,서울특별시 성동구 마장로 지하296(마장동),성동구
0542,답십리,,,서울특별시 성동구 천호대로 지하300(용답동),성동구
0543,장한평,,,서울특별시 동대문구 천호대로 지하405(장안동),동대문구
0544,군자(능동),,,서울특별시 광진구 천호대로 지하550(능동),광진구
0545,아차산(어린이대공원후문),,,서울특별시 광진구 천호대로 지하657(능동),광진구
0546,광나루(장신대),,,서울특별시 광진구 아차산로 지하571(광장동),광진구
0547,천호(풍납토성),,,서울특별시 강동구 천호대로 지하997(천호동),강동구
0548,강동,,,서울특별시 강동구 천호대로 지하1097(천호동),강동구
0549,길동,,,서울특별시 강동구 양재대로 지하1480(길동),강동구
0550,굽은다리(강동구민회관앞),,,서울특별시 강동구 양재대로 지하1572(명일동),강동구
0551,명일,,,서울특별시 강동구 양재대로 지하1632(명일동),강동구
